FBID	CG	name	GO
"FBgn0034938"	"CG3803"	"NA"	"cytochrome c oxidase biogenesis mitochondrial inner membrane"
"FBgn0034940"	"CG16787"	""	""
"FBgn0034952"	"CG18021"	"NA"	"NA"
"FBgn0034957"	"CG3121"	""	"microtubule binding microtubule associated complex microtubule-based process"
"FBgn0034958"	"CG3907"	"NA"	"NA"
"FBgn0034959"	"CG11388"	""	""
"FBgn0034965"	"CG13568"	""	""
"FBgn0034969"	"CG10485"	""	""
"FBgn0034972"	"CG10339"	""	"carboxylesterase"
"FBgn0034981"	"CG3260"	"Zfrp8"	"DNA binding nucleus"
"FBgn0034998"	"CG13577"	""	""
"FBgn0035003"	"CG15873"	""	"serine-type endopeptidase"
"FBgn0035009"	"CG16837"	"NA"	"dynein ATPase microtubule-based movement microtubule associated complex"
"FBgn0035014"	"CG13581"	""	""
"FBgn0035027"	"CG3511"	""	"peptidyl-prolyl cis-trans isomerase"
"FBgn0035072"	"CG12850"	""	""
"FBgn0035081"	"CG2858"	""	""
"FBgn0035082"	"CG2811"	""	""
"FBgn0035089"	"CG9358"	""	""
"FBgn0035091"	"CG3829"	""	"scavenger receptor integral to plasma membrane defense response"
"FBgn0035095"	"CG11869"	""	""
"FBgn0035102"	"CG7049"	""	""
"FBgn0035113"	"CG17142"	"NA"	"calcium channel calcium ion transport"
"FBgn0035125"	"CG13881"	""	""
"FBgn0035127"	"CG13883"	""	""
"FBgn0035136"	"CG6905"	""	"spliceosome complex mRNA splicing"
"FBgn0035147"	"CG12030"	""	"galactose metabolism UDP-glucose 4-epimerase"
"FBgn0035160"	"CG13897"	"NA"	"NA"
"FBgn0035171"	"CG12502"	""	""
"FBgn0035175"	"CG13904"	""	""
"FBgn0035176"	"CG13905"	"NA"	"NA"
"FBgn0035185"	"CG13911"	""	""
"FBgn0035186"	"CG13912"	""	""
"FBgn0035189"	"CG9119"	""	""
"FBgn0035191"	"CG1211"	"NA"	"tocopherol binding"
"FBgn0035197"	"CG9130"	""	""
"FBgn0035206"	"CG9186"	"NA"	"NA"
"FBgn0035208"	"CG9184"	""	""
"FBgn0035217"	"CG9169"	"FucTD"	"galactoside 3-L-fucosyltransferase"
"FBgn0035222"	"CG1014"	"robl62A"	"dynein ATPase microtubule-based movement microtubule associated complex"
"FBgn0035226"	"CG1009"	"Psa"	"cytosol alanyl aminopeptidase"
"FBgn0035232"	"CG12099"	"NA"	"NA"
"FBgn0035233"	"CG7864"	""	"peroxisome organization and biogenesis"
"FBgn0035234"	"CG12003"	"NA"	"NA"
"FBgn0035240"	"CG7934"	""	""
"FBgn0035248"	"CG13919"	"NA"	"NA"
"FBgn0035256"	"CG13930"	"NA"	"dynein ATPase microtubule-based movement microtubule associated complex cytoplasmic dynein complex motor"
"FBgn0035282"	"CG13936"	""	""
"FBgn0035287"	"CG13937"	""	"HNK-1 sulfotransferase"
"FBgn0035289"	"CG12026"	"NA"	"NA"
"FBgn0035294"	"CG1017"	""	"microfibril"
"FBgn0035305"	"CG11850"	""	""
"FBgn0035306"	"CG11952"	""	"structural constituent of cytoskeleton;"
"FBgn0035313"	"CG13810"	""	""
"FBgn0035320"	"CG8970"	""	""
"FBgn0035326"	"CG13805"	""	""
"FBgn0035330"	"CG13802"	""	""
"FBgn0035348"	"CG16758"	""	"purine-nucleoside phosphorylase"
"FBgn0035355"	"CG16985"	""	""
"FBgn0035356"	"CG16986"	""	""
"FBgn0035357"	"CG1244"	""	""
"FBgn0035359"	"CG1143"	""	""
"FBgn0035363"	"CG1248"	""	""
"FBgn0035373"	"CG1241"	""	""
"FBgn0035375"	"CG2103"	"NA"	"polypeptide N-acetylgalactosaminyltransferase"
"FBgn0035376"	"CG2083"	""	""
"FBgn0035377"	"CG14952"	""	""
"FBgn0035380"	"CG9970"	""	""
"FBgn0035391"	"CG2159"	""	""
"FBgn0035394"	"CG32486"	"NA"	"NA"
"FBgn0035404"	"CG12079"	"NA"	"NADH dehydrogenase (ubiquinone) NADH dehydrogenase complex (ubiquinone) (sensu Eukarya)"
"FBgn0035412"	"CG14957"	""	""
"FBgn0035417"	"CG11532"	""	""
"FBgn0035433"	"CG10813"	"NA"	"NA"
"FBgn0035439"	"CG14961"	""	""
"FBgn0035456"	"CG10860"	""	""
"FBgn0035460"	"CG14978"	""	""
"FBgn0035469"	"CG14977"	"NA"	"NA"
"FBgn0035476"	"CG12766"	""	"aldehyde reductase"
"FBgn0035484"	"CG11594"	""	""
"FBgn0035496"	"CG14990"	""	"serine-type endopeptidase"
"FBgn0035501"	"CG1299"	""	"serine-type endopeptidase"
"FBgn0035504"	"CG15003"	""	""
"FBgn0035517"	"CG1265"	""	""
"FBgn0035521"	"CG1268"	""	"hydrogen-translocating V-type ATPase hydrogen-translocating V-type ATPase complex"
"FBgn0035527"	"CG1318"	"Hexo1"	"beta-N-acetylhexosaminidase"
"FBgn0035528"	"CG15012"	""	"beta-N-acetylhexosaminidase"
"FBgn0035530"	"CG15013"	""	""
"FBgn0035535"	"CG15017"	""	""
"FBgn0035536"	"CG15018"	""	"tocopherol binding"
"FBgn0035539"	"CG7447"	""	""
"FBgn0035545"	"CG12607"	""	""
"FBgn0035552"	"CG11350"	""	""
"FBgn0035556"	"CG18318"	""	""
"FBgn0035574"	"CG13709"	""	""
"FBgn0035584"	"CG17030"	""	"ubiquitin conjugating enzyme"
"FBgn0035589"	"CG4618"	""	""
"FBgn0035593"	"CG4603"	""	""
"FBgn0035599"	"CG10647"	""	""
"FBgn0035600"	"CG4769"	"NA"	"electron transporter, transferring electrons within CoQH2-cytochrome c reductase complex oxidative phosphorylation"
"FBgn0035608"	"CG10630"	""	""
"FBgn0035613"	"CG10624"	"sinu"	"tracheal system development (sensu Insecta)"
"FBgn0035618"	"CG10594"	"Cyp307a1"	"membrane cytochrome P450 microsome"
"FBgn0035621"	"CG10591"	"NA"	"NA"
"FBgn0035623"	"CG17795"	""	"integral to membrane G-protein coupled receptor protein signaling pathway G-protein coupled receptor"
"FBgn0035624"	"CG12756"	""	""
"FBgn0035632"	"CG10575"	""	""
"FBgn0035641"	"CG5568"	"NA"	"long-chain fatty acid transporter"
"FBgn0035656"	"CG10479"	"NA"	"NA"
"FBgn0035661"	"CG10477"	"NA"	"serine-type endopeptidase"
"FBgn0035664"	"CG6467"	"NA"	"serine-type endopeptidase"
"FBgn0035665"	"CG6483"	"NA"	"serine-type endopeptidase"
"FBgn0035670"	"CG10472"	"NA"	"serine-type endopeptidase"
"FBgn0035679"	"CG10467"	"NA"	"aldose 1-epimerase"
"FBgn0035689"	"CG7376"	""	""
"FBgn0035690"	"CG10274"	""	""
"FBgn0035697"	"CG10163"	""	"phospholipase A1"
"FBgn0035722"	"CG10075"	"NA"	"NA"
"FBgn0035726"	"CG9953"	"NA"	"lysosomal pro-X carboxypeptidase"
"FBgn0035727"	"CG7678"	"NA"	"hydrogen-translocating V-type ATPase hydrogen-transporting ATPase V0 domain"
"FBgn0035732"	"CG8645"	""	""
"FBgn0035733"	"CG8641"	""	"RAS small monomeric GTPase"
"FBgn0035741"	"CG14825"	""	""
"FBgn0035742"	"CG8629"	""	"acyl-CoA binding diazepam-binding inhibitor acyl-CoA homeostasis"
"FBgn0035743"	"CG15829"	""	"acyl-CoA binding diazepam-binding inhibitor acyl-CoA homeostasis"
"FBgn0035744"	"CG8628"	""	"acyl-CoA binding diazepam-binding inhibitor acyl-CoA homeostasis"
"FBgn0035745"	"CG8621"	""	""
"FBgn0035748"	"CG8618"	""	""
"FBgn0035764"	"CG8601"	"NA"	"NA"
"FBgn0035768"	"CG14834"	""	""
"FBgn0035785"	"CG8546"	""	"amiloride-sensitive sodium channel"
"FBgn0035792"	"CG7548"	""	"structural constituent of cuticle (sensu Insecta)"
"FBgn0035797"	"CG14837"	""	""
"FBgn0035799"	"CG14838"	""	"dynein ATPase microtubule associated complex microtubule-based movement"
"FBgn0035809"	"CG18025"	""	""
"FBgn0035811"	"CG12262"	""	"mitochondrion acyl-CoA dehydrogenase"
"FBgn0035813"	"CG8492"	""	"antimicrobial humoral response (sensu Invertebrata) lysozyme"
"FBgn0035844"	"CG13676"	""	""
"FBgn0035849"	"CG7404"	"ERR"	"ligand-dependent nuclear receptor"
"FBgn0035862"	"CG13672"	""	""
"FBgn0035881"	"CG7176"	"Idh"	"isocitrate dehydrogenase (NADP+)"
"FBgn0035892"	"CG18543"	"NA"	"NA"
"FBgn0035904"	"CG6776"	""	"glutathione transferase"
"FBgn0035913"	"CG32352"	"NA"	"NA"
"FBgn0035923"	"CG6511"	""	""
"FBgn0035924"	"CG6576"	""	""
"FBgn0035925"	"CG32030"	"NA"	"actin binding"
"FBgn0035926"	"CG5804"	""	"acyl-CoA homeostasis diazepam-binding inhibitor acyl-CoA binding"
"FBgn0035927"	"CG32030"	"NA"	"actin binding"
"FBgn0035930"	"CG13307"	""	""
"FBgn0035935"	"CG5747"	""	""
"FBgn0035939"	"CG5008"	""	""
"FBgn0035943"	"CG5653"	""	""
"FBgn0035950"	"CG5288"	""	"galactokinase"
"FBgn0035961"	"CG4948"	""	""
"FBgn0035963"	"CG18403"	""	""
"FBgn0035968"	"CG4484"	""	"sucrose:hydrogen symporter"
"FBgn0035978"	"CG4347"	""	"UTP-glucose-1-phosphate uridylyltransferase"
"FBgn0035988"	"CG3982"	""	""
"FBgn0035989"	"CG3967"	""	""
"FBgn0036000"	"CG3434"	""	"queuine tRNA-ribosyltransferase"
"FBgn0036012"	"CG3179"	""	""
"FBgn0036017"	"CG3280"	""	""
"FBgn0036024"	"CG18180"	"NA"	"NA"
"FBgn0036032"	"CG16711"	""	""
"FBgn0036045"	"CG14173"	""	"insulin receptor binding"
"FBgn0036061"	"CG12524"	""	""
"FBgn0036067"	"CG6645"	""	""
"FBgn0036085"	"CG6527"	""	""
"FBgn0036089"	"CG14151"	""	""
"FBgn0036100"	"CG6463"	"NA"	"NADH dehydrogenase (ubiquinone) NADH dehydrogenase complex (ubiquinone) (sensu Eukarya)"
"FBgn0036113"	"CG7923"	""	""
"FBgn0036114"	"CG11806"	""	""
"FBgn0036116"	"CG7888"	""	""
"FBgn0036117"	"CG6321"	"NA"	"NA"
"FBgn0036121"	"CG6310"	"NA"	"NA"
"FBgn0036125"	"CG6279"	""	""
"FBgn0036149"	"CG18490"	""	""
"FBgn0036168"	"CG7512"	""	""
"FBgn0036172"	"CG11711"	""	""
"FBgn0036190"	"CG6060"	""	""
"FBgn0036195"	"CG6053"	""	"dynein ATPase motor cytoplasmic dynein complex microtubule associated complex microtubule-based movement"
"FBgn0036201"	"CG7303"	"NA"	"taste receptor integral to membrane taste"
"FBgn0036203"	"CG6004"	"3L  68D4-68D4"	"structural constituent of peritrophic membrane (sensu Insecta)"
"FBgn0036224"	"CG7257"	""	"proteasome ATPase 19S proteasome regulatory particle"
"FBgn0036232"	"CG14125"	"NA"	"NA"
"FBgn0036237"	"CG18593"	"viaf1"	"NA"
"FBgn0036259"	"CG9760"	"NA"	"NA"
"FBgn0036261"	"CG6906"	""	"carbonate dehydratase"
"FBgn0036262"	"CG6910"	""	""
"FBgn0036268"	"CG5620"	""	""
"FBgn0036271"	"CG10335"	""	"porphobilinogen synthase"
"FBgn0036275"	"CG32105"	"NA"	"nucleus transcription factor"
"FBgn0036278"	"CG10698"	"GRHRII"	"integral to membrane neuropeptide receptor G-protein coupled receptor protein signaling pathway G-protein coupled receptor protein-hormone receptor gonadotropin-releasing hormone receptor"
"FBgn0036283"	"CG4392"	""	""
"FBgn0036294"	"CG10654"	""	""
"FBgn0036316"	"CG10960"	"NA"	"glucose transporter"
"FBgn0036318"	"CG11009"	"NA"	"NA"
"FBgn0036320"	"CG10943"	"NA"	"NA"
"FBgn0036323"	"CG14118"	""	""
"FBgn0036329"	"CG11262"	""	""
"FBgn0036361"	"CG10154"	""	"structural constituent of peritrophic membrane (sensu Insecta)"
"FBgn0036362"	"CG10725"	""	"structural constituent of peritrophic membrane (sensu Insecta)"
"FBgn0036363"	"CG10140"	""	""
"FBgn0036375"	"CG10711"	"NA"	"NA"
"FBgn0036381"	"CG8745"	"NA"	"ornithine-oxo-acid aminotransferase"
"FBgn0036411"	"CG7345"	"Sox21a"	"transcription factor nucleus"
"FBgn0036415"	"CG7768"	""	"peptidyl-prolyl cis-trans isomerase"
"FBgn0036419"	"CG13482"	"NA"	"NA"
"FBgn0036422"	"CG3868"	""	""
"FBgn0036433"	"CG9628"	"NA"	"NA"
"FBgn0036443"	"CG13471"	""	""
"FBgn0036444"	"CG9370"	""	""
"FBgn0036449"	"CG5295"	"NA"	"NA"
"FBgn0036451"	"CG9425"	""	""
"FBgn0036452"	"CG5258"	"NHP2"	"nucleolus"
"FBgn0036454"	"CG17839"	"NA"	"NA"
"FBgn0036457"	"CG3396"	""	""
"FBgn0036467"	"CG12310"	""	""
"FBgn0036471"	"CG13460"	""	""
"FBgn0036485"	"CG6869"	"FucTA"	"galactoside 3-L-fucosyltransferase glycoprotein 3-alpha-L-fucosyltransferase Golgi trans cisterna plasma membrane protein amino acid glycosylation"
"FBgn0036504"	"CG7463"	""	""
"FBgn0036517"	"CG32149"	"RhoGAP71E"	"NA"
"FBgn0036518"	"CG7396"	""	""
"FBgn0036527"	"CG7304"	""	"polypeptide N-acetylgalactosaminyltransferase"
"FBgn0036549"	"CG10516"	"NA"	"NA"
"FBgn0036564"	"CG5241"	"NA"	"N4-(beta-N-acetylglucosaminyl)-L-asparaginase"
"FBgn0036572"	"CG5165"	"Pgm"	"phosphoglucomutase"
"FBgn0036591"	"CG13050"	""	""
"FBgn0036596"	"CG13045"	""	""
"FBgn0036598"	"CG4982"	""	""
"FBgn0036599"	"CG13044"	""	""
"FBgn0036600"	"CG13043"	""	""
"FBgn0036603"	"CG13062"	""	""
"FBgn0036614"	"CG4925"	""	""
"FBgn0036616"	"CG4893"	"NA"	"NA"
"FBgn0036623"	"CG4729"	""	"1-acylglycerol-3-phosphate O-acyltransferase"
"FBgn0036642"	"CG4169"	"NA"	"ubiquinol-cytochrome c reductase complex (sensu Eukarya) ubiquinol-cytochrome c reductase"
"FBgn0036643"	"CG4109"	"Syx8"	"t-SNARE plasma membrane neurotransmitter secretion synaptic vesicle docking synaptic vesicle fusion"
"FBgn0036646"	"CG18217"	""	""
"FBgn0036657"	"CG9697"	"PGRP-SB2"	"peptidoglycan recognition defense response integral to plasma membrane immune response extracellular"
"FBgn0036658"	"CG9681"	"PGRP-SB1"	"peptidoglycan recognition integral to plasma membrane extracellular defense response immune response"
"FBgn0036659"	"CG9701"	""	""
"FBgn0036661"	"CG9705"	"NA"	"NA"
"FBgn0036663"	"CG9674"	"NA"	"glutamate synthase (NADPH)"
"FBgn0036666"	"CG9712"	"TSG101"	"NA"
"FBgn0036675"	"CG32171"	"Lmpt"	"nucleus transcription factor"
"FBgn0036678"	"CG11905"	""	""
"FBgn0036681"	"CG13027"	"NA"	"NA"
"FBgn0036683"	"CG14060"	""	"small nuclear ribonucleoprotein complex snRNP U2 mRNA splicing"
"FBgn0036716"	"CG13728"	""	""
"FBgn0036721"	"CG3874"	"frc"	"pyrimidine nucleotide sugar transport pyrimidine nucleotide sugar transporter N receptor processing Golgi apparatus"
"FBgn0036737"	"CG6298"	"NA"	"chymotrypsin"
"FBgn0036738"	"CG7542"	""	"chymotrypsin"
"FBgn0036740"	"CG6259"	"NA"	"NA"
"FBgn0036744"	"CG32179"	"Keren"	"epidermal growth factor receptor ligand plasma membrane EGF receptor signaling pathway"
"FBgn0036749"	"CG7460"	"NA"	"NA"
"FBgn0036751"	"CG5998"	"Adgf-B"	"growth factor adenosine deaminase"
"FBgn0036762"	"CG7430"	"NA"	"dihydrolipoamide dehydrogenase complex dihydrolipoamide dehydrogenase"
"FBgn0036766"	"CG5506"	""	""
"FBgn0036767"	"CG16775"	""	""
"FBgn0036789"	"CG13702"	"AlCR2"	"allatostatin receptor integral to membrane neuropeptide receptor G-protein coupled receptor protein signaling pathway somatostatin receptor G-protein coupled receptor"
"FBgn0036831"	"CG6839"	""	""
"FBgn0036834"	"CG6836"	"NA"	"NA"
"FBgn0036837"	"CG18135"	""	""
"FBgn0036871"	"CG14096"	""	""
"FBgn0036892"	"CG8798"	""	"endopeptidase La"
"FBgn0036896"	"CG8789"	""	"protein amino acid phosphorylation protein kinase protein serine/threonine kinase"
"FBgn0036920"	"CG8004"	"NA"	"protein-mitochondrial targeting mitochondrial outer membrane"
"FBgn0036943"	"CG7323"	""	""
"FBgn0036944"	"CG13811"	""	""
"FBgn0036945"	"CG6981"	""	""
"FBgn0036947"	"CG7306"	""	"structural constituent of peritrophic membrane (sensu Insecta)"
"FBgn0036948"	"CG7298"	""	"structural constituent of peritrophic membrane (sensu Insecta)"
"FBgn0036950"	"CG6996"	""	""
"FBgn0036959"	"CG6951"	"NA"	"dCMP deaminase"
"FBgn0036975"	"CG5618"	""	"sulfinoalanine decarboxylase"
"FBgn0036977"	"CG5665"	""	"lipoprotein lipase structural molecule"
"FBgn0036981"	"CG5725"	"fbl"	"pantothenate kinase cytoplasm spindle plasma membrane membrane organization and biogenesis chromosome segregation cytokinesis mitosis meiosis"
"FBgn0036985"	"CG5847"	""	"structural constituent of cuticle (sensu Insecta) activity"
"FBgn0036996"	"CG5932"	""	"triacylglycerol lipase"
"FBgn0036997"	"CG5955"	"NA"	"UDP-glucose 4-epimerase"
"FBgn0037000"	"CG5130"	""	"zinc ion transporter"
"FBgn0037030"	"CG3288"	""	""
"FBgn0037032"	"CG3116"	""	""
"FBgn0037035"	"CG10589"	""	""
"FBgn0037039"	"CG10587"	""	"endopeptidase"
"FBgn0037057"	"CG10512"	""	""
"FBgn0037063"	"CG9391"	""	"dephosphorylation myo-inositol-1(or 4)-monophosphatase"
"FBgn0037070"	"CG11309"	""	""
"FBgn0037071"	"CG7632"	""	""
"FBgn0037088"	"CG7195"	""	""
"FBgn0037090"	"CG7529"	"NA"	"carboxylesterase"
"FBgn0037092"	"CG7540"	"M6"	"plasma membrane"
"FBgn0037099"	"CG7173"	""	""
"FBgn0037101"	"CG7634"	""	""
"FBgn0037104"	"CG14574"	""	""
"FBgn0037111"	"CG14576"	""	""
"FBgn0037117"	"CG11248"	"NA"	"NA"
"FBgn0037126"	"CG14567"	"NA"	"NA"
"FBgn0037128"	"CG14572"	""	""
"FBgn0037146"	"CG7470"	""	"delta-1-pyrroline-5-carboxylate synthetase proline biosynthesis mitochondrion glutamate-5-semialdehyde dehydrogenase glutamate 5-kinase"
"FBgn0037159"	"CG11471"	"Aats-ile"	"isoleucine-tRNA ligase isoleucyl-tRNA aminoacylation"
"FBgn0037172"	"CG6914"	""	"NADH dehydrogenase (ubiquinone) NADH dehydrogenase complex (ubiquinone) (sensu Eukarya)"
"FBgn0037180"	"CG14452"	""	""
"FBgn0037184"	"CG14450"	"NA"	"NA"
"FBgn0037191"	"CG14448"	""	""
"FBgn0037200"	"CG11109"	"NA"	"rRNA methyltransferase nucleolus"
"FBgn0037212"	"CG12414"	"nAcRalpha-80B"	"nicotinic acetylcholine-gated receptor-channel complex nicotinic acetylcholine-activated cation-selective channel"
"FBgn0037213"	"CG12581"	""	""
"FBgn0037228"	"CG1092"	"NA"	"NA"
"FBgn0037237"	"CG9843"	""	""
"FBgn0037246"	"CG10532"	""	""
"FBgn0037251"	"CG9804"	"NA"	"lipoate-protein ligase"
"FBgn0037284"	"CG14659"	""	""
"FBgn0037291"	"CG14662"	""	""
"FBgn0037294"	"CG12590"	""	""
"FBgn0037295"	"CG12591"	""	""
"FBgn0037306"	"CG31543"	"Hph"	"NA"
"FBgn0037323"	"CG2663"	"NA"	"tocopherol binding"
"FBgn0037325"	"CG12147"	""	"protein amino acid phosphorylation casein kinase I"
"FBgn0037329"	"CG12162"	"NA"	"NA"
"FBgn0037354"	"CG12171"	""	"oxidoreductase, acting on CH-OH group of donors"
"FBgn0037375"	"CG1193"	""	"adenosinetriphosphatase microtubule binding microtubule severing microtubule associated complex katanin endoplasmic reticulum microtubule-based process"
"FBgn0037386"	"CG1208"	""	"glucose transporter"
"FBgn0037387"	"CG1213"	"NA"	"glucose transporter"
"FBgn0037400"	"CG15582"	"Obp83c"	"odorant binding"
"FBgn0037404"	"CG15584"	""	""
"FBgn0037412"	"CG10303"	""	""
"FBgn0037415"	"CG15591"	""	""
"FBgn0037422"	"CG15595"	""	""
"FBgn0037425"	"CG10314"	""	""
"FBgn0037436"	"CG10296"	""	"ligand-dependent nuclear receptor steroid hormone receptor nucleus"
"FBgn0037439"	"CG10286"	"NA"	"NA"
"FBgn0037446"	"CG10267"	""	""
"FBgn0037494"	"CG10040"	""	""
"FBgn0037497"	"CG32466"	"rn"	"leg morphogenesis (sensu Holometabola) eye morphogenesis (sensu Drosophila)"
"FBgn0037506"	"CG1287"	"NA"	"NA"
"FBgn0037510"	"CG31146"	"NA"	"neurexin binding neuroligin carboxylesterase"
"FBgn0037522"	"CG2649"	""	""
"FBgn0037541"	"CG2747"	""	""
"FBgn0037553"	"CG18249"	""	""
"FBgn0037563"	"CG11672"	""	""
"FBgn0037618"	"CG11762"	""	""
"FBgn0037627"	"CG13318"	""	"serine-type endopeptidase"
"FBgn0037635"	"CG9837"	""	""
"FBgn0037642"	"CG11962"	""	""
"FBgn0037643"	"CG11963"	"NA"	"succinate-CoA ligase complex (ADP-forming) succinate-CoA ligase (ADP-forming)"
"FBgn0037655"	"CG11984"	""	""
"FBgn0037663"	"CG9746"	""	"protein serine/threonine kinase"
"FBgn0037672"	"CG12952"	"sage"	"transcription factor nucleus regulation of transcription"
"FBgn0037678"	"CG16749"	"NA"	"serine-type endopeptidase"
"FBgn0037699"	"CG8147"	"NA"	"alkaline phosphatase"
"FBgn0037715"	"CG9399"	"NA"	"NA"
"FBgn0037730"	"CG9444"	""	"proton-dependent oligopeptide transporter"
"FBgn0037734"	"CG9448"	""	""
"FBgn0037753"	"CG12947"	""	""
"FBgn0037769"	"CG12419"	""	""
"FBgn0037782"	"CG12813"	"NA"	"NA"
"FBgn0037783"	"CG3934"	""	""
"FBgn0037785"	"CG12809"	"nerfin-2"	""
"FBgn0037788"	"CG3940"	"NA"	"carbonate dehydratase"
"FBgn0037821"	"CG14682"	""	""
"FBgn0037827"	"CG4073"	""	""
"FBgn0037830"	"CG31272"	"NA"	"transporter activity"
"FBgn0037843"	"CG4511"	"NA"	"ATP binding"
"FBgn0037848"	"CG4591"	"Tsp86D"	"integral to membrane"
"FBgn0037850"	"CG14695"	""	""
"FBgn0037854"	"CG6612"	"Adk3"	"adenylate kinase"
"FBgn0037856"	"CG4674"	"NA"	"NA"
"FBgn0037861"	"CG6633"	"Ugt86Dd"	"NA"
"FBgn0037869"	"CG4772"	"Ugt86Dh"	"UDP-glucoronosyl and UDP-glucosyl transferase, UDP-Glycosyltransferase/glycogen phosphorylase"
"FBgn0037880"	"CG17726"	""	""
"FBgn0037890"	"CG17734"	"NA"	"NA"
"FBgn0037919"	"CG17238"	""	""
"FBgn0037934"	"CG6830"	"NA"	"NA"
"FBgn0037935"	"CG6834"	"NA"	"NA"
"FBgn0037936"	"CG6908"	""	""
"FBgn0037940"	"CG14720"	""	""
"FBgn0037950"	"CG14723"	"HisCl1"	"histamine-gated chloride channel glycine-gated ion channel histamine-gated chloride channel complex"
"FBgn0037957"	"NA"	"Cyp315a1 "	"membrane cytochrome P450 microsome"
"FBgn0037973"	"CG18547"	"NA"	"NA"
"FBgn0037974"	"CG12224"	""	"oxidoreductase"
"FBgn0037977"	"CG3132"	"NA"	"NA"
"FBgn0037990"	"CG14737"	""	""
"FBgn0038029"	"CG17639"	""	"glutathione transferase"
"FBgn0038030"	"CG17793"	""	""
"FBgn0038031"	"CG17756"	""	""
"FBgn0038034"	"NA"	"Cyp9f3"	"membrane cytochrome P450 microsome"
"FBgn0038037"	"CG11466"	"Cyp9f2"	"membrane cytochrome P450 microsome"
"FBgn0038040"	"CG5663"	"Dip-C"	"Xaa-Pro dipeptidase dipeptidyl-peptidase"
"FBgn0038056"	"CG5961"	"NA"	"NA"
"FBgn0038061"	"CG7078"	""	""
"FBgn0038064"	"CG18553"	""	""
"FBgn0038074"	"CG6188"	"NA"	"glycine N-methyltransferase"
"FBgn0038076"	"CG6802"	"Cyp313a4"	"membrane cytochrome P450 microsome"
"FBgn0038082"	"CG5724"	""	""
"FBgn0038084"	"CG14390"	""	""
"FBgn0038088"	"CG10126"	""	"calcium ion binding"
"FBgn0038097"	"CG14384"	""	""
"FBgn0038098"	"CG7381"	""	""
"FBgn0038106"	"CG7488"	""	""
"FBgn0038118"	"CG7855"	"timeout"	""
"FBgn0038125"	"CG8141"	""	""
"FBgn0038128"	"CG15889"	""	""
"FBgn0038130"	"CG8630"	""	"stearoyl-CoA desaturase"
"FBgn0038134"	"CG8458"	"Wnt8"	""
"FBgn0038135"	"CG8773"	"NA"	"glutamyl aminopeptidase"
"FBgn0038147"	"CG14375"	""	""
"FBgn0038150"	"CG17045"	"yellow-e3"	"NA"
"FBgn0038153"	"CG14376"	""	""
"FBgn0038161"	"CG9269"	""	""
"FBgn0038178"	"CG9322"	"NA"	"actin binding female meiosis chromosome segregation"
"FBgn0038181"	"CG9297"	"NA"	"calcium ion binding calcium ion transport"
"FBgn0038183"	"CG9286"	""	""
"FBgn0038194"	"CG3050"	"Cyp6d5"	"cytochrome P450 microsome membrane"
"FBgn0038205"	"CG9913"	"Kif19A"	"kinesin motor kinesin complex microtubule-based movement"
"FBgn0038208"	"CG14355"	""	""
"FBgn0038227"	"CG14846"	""	""
"FBgn0038242"	"CG14852"	""	""
"FBgn0038257"	"CG7390"	"smp-30"	"NA"
"FBgn0038260"	"CG14855"	""	"organic cation porter"
"FBgn0038261"	"CG14856"	""	"organic cation porter"
"FBgn0038292"	"CG3987"	"NA"	"NA"
"FBgn0038293"	"CG6904"	""	"glycogen biosynthesis glycogen (starch) synthase"
"FBgn0038302"	"CG4210"	"NA"	"NA"
"FBgn0038305"	"CG6572"	""	"glycerol-3-phosphate O-acyltransferase"
"FBgn0038315"	"CG14866"	""	""
"FBgn0038344"	"CG5205"	""	"RNA helicase helicase small nuclear ribonucleoprotein complex snRNP U5 mRNA splicing"
"FBgn0038347"	"CG18522"	"NA"	"NA"
"FBgn0038357"	"CG5623"	""	""
"FBgn0038361"	"CG9589"	""	"uroporphyrin-III C-methyltransferase"
"FBgn0038362"	"CG17604"	"c(3)G"	"meiotic recombination synaptonemal complex"
"FBgn0038399"	"CG10224"	""	""
"FBgn0038402"	"CG5952"	"Fer2"	"regulation of transcription nucleus transcription factor"
"FBgn0038405"	"CG8927"	""	""
"FBgn0038409"	"CG6815"	"bor"	"cytoplasm"
"FBgn0038441"	"CG11769"	""	""
"FBgn0038445"	"CG14891"	""	""
"FBgn0038450"	"CG17560"	""	""
"FBgn0038463"	"CG3534"	""	"xylulokinase"
"FBgn0038466"	"CG8907"	"NA"	"NA"
"FBgn0038475"	"CG3962"	"NA"	"actin binding"
"FBgn0038477"	"CG5169"	""	"receptor signaling protein serine/threonine kinase protein amino acid phosphorylation"
"FBgn0038492"	"CG4090"	""	""
"FBgn0038494"	"CG4135"	"beat-IIb"	"extracellular"
"FBgn0038495"	"CG14336"	""	""
"FBgn0038509"	"CG14332"	"NA"	"NA"
"FBgn0038516"	"CG5840"	""	"pyrroline 5-carboxylate reductase"
"FBgn0038529"	"CG14323"	""	""
"FBgn0038530"	"CG7629"	"AttD"	"antibacterial peptide antibacterial humoral response (sensu Invertebrata)"
"FBgn0038570"	"CG7217"	"NA"	"NA"
"FBgn0038605"	"CG7117"	""	""
"FBgn0038613"	"CG7678"	"NA"	"hydrogen-translocating V-type ATPase hydrogen-transporting ATPase V0 domain"
"FBgn0038619"	"CG7685"	""	""
"FBgn0038628"	"CG14306"	""	""
